id,pali_1,sutta_1
62901,upapāramī,buddha-vassa-sajjhāyanā
62961,uparima,"tatiyapārājikaṃ, vinītavatthu"
62999,uparūpari,mahāsupinasuttaṃ
63046,upasamika,salutation to the triple gem
63288,upavajja 2,āpattibhayasuttaṃ
63286,upavadiyamāna,duṭṭhaṭṭhakasuttaniddeso
62546,upahāra,dhātuvibhaṅgasuttaṃ
62692,upāli 2,catutthavaggo
63528,uppajjituṃ,bāhiyasuttaṃ vaṇṇanā
63504,uppādī,"mātikā, tikamātikā"
60946,ubhatobhāgavimutta,kīṭāgirisuttaṃ
62110,ummihati,chabbassasikkhāpada
63742,ussāhetvā,kīṭāgirisuttaṃ
63798,ussoḷhi,dutiya maraṇassatisuttaṃ
61715,uhadati,chabbassasikkhāpada
62078,ūmimaya,paṭhamasamuddasuttaṃ vaṇṇanā
21628,ekatiṃsati,buddha-vassa-sajjhāyanā
21568,ekaputtaka,puttamaṃsasuttaṃ
70918,eka 7,vasalasuttaṃ<br/>uragavaggo 7
21604,ekāsanikaṅga,dhutaṅgapañho
21733,ekūnacattāḷīsati,buddha-vassa-sajjhāyanā
21745,ekūnatiṃsati,buddha-vassa-sajjhāyanā
21746,ekūnatiṃsatima,buddha-vassa-sajjhāyanā
21738,ekūnasata,buddha-vassa-sajjhāyanā
21749,ekūnavīsati,buddha-vassa-sajjhāyanā
71001,ete 2,khajjanīyasuttaṃ
21951,etha tumhe,kesamuttisuttaṃ (kalamasuttaṃ)
21853,esanta,nālakasuttaṃ<br/>mahāvaggo 11
22029,evamayaṃ,purisindriyañāṇasuttaṃ
22017,evamārocesi,cūḷagosiṅgasuttaṃ
21294,ehi tvaṃ,anupubba-sikkhā
21776,eḷakalomāni,suddhakāḷaka sikkhāpada
38757,okkami,aggaññasuttaṃ
38928,oṇojeti,pariṇatasikkhāpadaṃ
38926,oṇojesi,bimbisārasamāgamakathā
38553,odhi,saḷāyatanavibhaṅgasuttaṃ
39109,osaramāna,paṭhamasamuddasuttaṃ vaṇṇanā
39076,osādeti,paṭhamapārājikaṃ
38817,oḷāra,dhammacakkappavattanasuttaṃ
26344,kakacūpama,kakacūpamasuttaṃ
26261,kacci nu kho,dasadhammā pabbajita-abhiṇha-paccavekkhaṇā
28367,kaṭukagga,sūdasuttaṃ
