timestamp,file,line,control,handler,event,ms
2026-09-17T18:28:58.099,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,1.2
2026-09-17T18:28:58.466,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,1.1
2026-09-17T18:28:58.696,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:28:59.091,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.3
2026-09-17T18:28:59.413,gui2/dpd_fields_commentary.py,192,TextField,DpdCommentaryField.click_commentary_search,submit,321.9
2026-09-17T18:28:59.452,gui2/dpd_fields_commentary.py,179,TextField,DpdCommentaryField._search_field_1_focus,focus,1.2
2026-09-17T18:29:00.799,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:29:01.107,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.7
2026-09-17T18:29:01.370,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:29:01.683,gui2/dpd_fields_commentary.py,192,TextField,DpdCommentaryField.click_commentary_search,submit,312.7
2026-09-17T18:29:03.645,gui2/dpd_fields_commentary.py,314,TextButton,DpdCommentaryField.click_choose_example_cancel,click,37.0
2026-09-17T18:29:03.686,gui2/dpd_fields.py,1087,DpdTextField,DpdFields.commentary_focus,focus,0.3
2026-09-17T18:29:03.869,.venv/lib/python3.13/site-packages/flet/controls/base_page.py,463,AlertDialog,BasePage._wrap_dialog_on_dismiss.<locals>.wrapped_on_dismiss,dismiss,0.4
2026-09-17T18:29:04.153,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:29:04.194,gui2/dpd_fields_commentary.py,344,DpdTextField,DpdCommentaryField._handle_field_blur,blur,0.6
2026-09-17T18:29:04.686,gui2/dpd_fields_commentary.py,179,TextField,DpdCommentaryField._search_field_1_focus,focus,0.5
2026-09-17T18:29:04.801,gui2/dpd_fields_commentary.py,160,Button,DpdCommentaryField._handle_last_control_blur,blur,37.3
2026-09-17T18:29:04.838,gui2/dpd_fields.py,698,DpdTextField,DpdFields._handle_generic_spell_check,blur,36.6
2026-09-17T18:29:04.876,gui2/dpd_fields.py,1087,DpdTextField,DpdFields.commentary_focus,focus,0.4
2026-09-17T18:29:04.914,gui2/dpd_fields_commentary.py,344,DpdTextField,DpdCommentaryField._handle_field_blur,blur,0.5
2026-09-17T18:29:04.954,gui2/dpd_fields.py,698,DpdTextField,DpdFields._handle_generic_spell_check,blur,39.3
2026-09-17T18:29:05.194,gui2/dpd_fields_family_set.py,81,DpdTextField,DpdFamilySetField._handle_blur,blur,37.0
2026-09-17T18:29:05.351,gui2/dpd_fields.py,1501,DpdTextField,DpdFields.origin_blur,blur,0.7
2026-09-17T18:29:05.388,gui2/dpd_fields.py,1651,DpdTextField,DpdFields.stem_blur,blur,36.6
2026-09-17T18:29:05.425,gui2/dpd_fields.py,1672,DpdTextField,DpdFields.pattern_change,focus,37.1
2026-09-17T18:29:05.589,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.4
2026-09-17T18:29:05.627,gui2/dpd_fields.py,1696,DpdTextField,DpdFields.comment_change,focus,0.3
2026-09-17T18:29:06.274,gui2/dpd_fields.py,1696,DpdTextField,DpdFields.comment_change,blur,0.7
2026-09-17T18:29:06.502,gui2/pass2_add_view.py,751,Button,Pass2AddView._click_run_tests,click,158.9
2026-09-17T18:29:09.229,gui2/test_manager.py,191,TextButton,GuiTestManager._handle_edit,click,69.9
2026-09-17T18:29:09.434,.venv/lib/python3.13/site-packages/flet/controls/base_page.py,463,AlertDialog,BasePage._wrap_dialog_on_dismiss.<locals>.wrapped_on_dismiss,dismiss,0.7
2026-09-17T18:29:14.933,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:29:15.091,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:29:15.300,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:29:15.383,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.4
2026-09-17T18:29:15.456,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.9
2026-09-17T18:29:15.490,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.3
2026-09-17T18:29:15.557,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,1.1
2026-09-17T18:29:16.099,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.4
2026-09-17T18:29:16.188,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
