bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_book	bjt_paṇṇāsa	bjt_vagga	bjt_sutta
an-1-10-33	an-1-10-33	an-1	22	38	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 33.
an-1-10-34-42	an-1-10-34-42	an-1	22	40	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 34-42.
an-1-11-1	an-1-11-1	an-1	22	40	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		adhammavaggo	1. 11. 1.
an-1-11-2-10	an-1-11-2-10	an-1	22	40	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		adhammavaggo	1. 11. 2-10.
an-1-12-1-10	an-1-12-1-10	an-1	22	42	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		anāpattivaggo	1. 12. 1-10.
an-1-12-11-20	an-1-12-11-20	an-1	22	42	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		anāpattivaggo	1. 12. 11-20.
an-1-13-1	an-1-13-1	an-1	22	42	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 13. 1.
an-1-13-2	an-1-13-2	an-1	22	44	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 13. 2.
an-1-13-3	an-1-13-3	an-1	22	44	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 13. 3.
an-1-13-4	an-1-13-4	an-1	22	44	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 13. 4.
an-1-13-5-13	an-1-13-5-13	an-1	22	44	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 13. 5-13.
an-1-13-14-25	an-1-13-14-25	an-1	22	44	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 13. 14-25.
an-1-13-26	an-1-13-26	an-1	22	46	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 13. 26.
an-1-15-1	an-1-15-1	an-1	22	54	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 1.
an-1-15-2	an-1-15-2	an-1	22	54	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 2.
an-1-15-3	an-1-15-3	an-1	22	54	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 3.
an-1-15-4	an-1-15-4	an-1	22	54	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 4.
an-1-15-5	an-1-15-5	an-1	22	54	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 5.
an-1-15-6	an-1-15-6	an-1	22	54	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 6.
an-1-15-7	an-1-15-7	an-1	22	56	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 7.
an-1-15-8	an-1-15-8	an-1	22	56	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 8.
an-1-15-9	an-1-15-9	an-1	22	56	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 9.
an-1-15-10	an-1-15-10	an-1	22	56	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 10.
an-1-15-11	an-1-15-11	an-1	22	56	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 11.
an-1-15-12	an-1-15-12	an-1	22	56	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 12.
an-1-15-13	an-1-15-13	an-1	22	58	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 13.
an-1-15-14-16	an-1-15-14-16	an-1	22	58	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 14-16.
an-1-15-17	an-1-15-17	an-1	22	58	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 17.
an-1-15-18-19	an-1-15-18-19	an-1	22	58	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 18-19.
an-1-15-20	an-1-15-20	an-1	22	58	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 20.
an-1-15-21-22	an-1-15-21-22	an-1	22	58	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 21-22.
an-1-15-23	an-1-15-23	an-1	22	60	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 23.
an-1-15-24-25	an-1-15-24-25	an-1	22	60	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 24-25.
an-1-15-26	an-1-15-26	an-1	22	60	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 26.
an-1-15-27-28	an-1-15-27-28	an-1	22	60	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 15. 27-28.
an-1-16-1-1	an-1-16-1-1	an-1	22	62	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ekapuggalavaggo	1. 16. 1. 1.
