bjt_sutta_code	 bjt_web_code	 bjt_filename	 bjt_book_id	 bjt_page_num	 bjt_page_offset	 bjt_piṭaka    	 bjt_nikāya    	 bjt_major_section	 bjt_book            	 bjt_minor_section	 bjt_vagga           	 bjt_sutta
mn 2. 5. 1.   	 mn-2-5-1    	 mn-2-5      	          14	          576	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 5. brāhmaṇavaggo    	 1. brahmāyusuttaṃ
mn 2. 5. 2.   	 mn-2-5-2    	 mn-2-5      	          14	          598	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 5. brāhmaṇavaggo    	 2. selasuttaṃ
mn 2. 5. 3.   	 mn-2-5-3    	 mn-2-5      	          14	          610	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 5. brāhmaṇavaggo    	 3. assalāyanasuttaṃ
mn 2. 5. 4.   	 mn-2-5-4    	 mn-2-5      	          14	          628	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 5. brāhmaṇavaggo    	 4. ghoṭamukhasuttaṃ
mn 2. 5. 5.   	 mn-2-5-5    	 mn-2-5      	          14	          646	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 5. brāhmaṇavaggo    	 5. caṅkīsuttaṃ
mn 2. 5. 6.   	 mn-2-5-6    	 mn-2-5      	          14	          668	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 5. brāhmaṇavaggo    	 6. esukārīsuttaṃ
mn 2. 5. 7.   	 mn-2-5-7    	 mn-2-5      	          14	          680	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 5. brāhmaṇavaggo    	 7. dhanañjānisuttaṃ
mn 2. 5. 8.   	 mn-2-5-8    	 mn-2-5      	          14	          700	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 5. brāhmaṇavaggo    	 8. vāseṭṭhasuttaṃ
mn 2. 5. 9.   	 mn-2-5-9    	 mn-2-5      	          14	          712	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 5. brāhmaṇavaggo    	 9. subhasuttaṃ
mn 2. 5. 10.  	 mn-2-5-10   	 mn-2-5      	          14	          736	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 5. brāhmaṇavaggo    	 10. saṅgāravasuttaṃ
mn 3. 1. 1.   	 mn-3-1-1    	 mn-3        	          15	            2	               0	 suttantapiṭake	 majjhimanikāyo	                  	 3. uparipaṇṇāsako   	                  	 1. devadahavaggo    	 1. devadaha suttaṃ
mn 3. 1. 2.   	 mn-3-1-2    	 mn-3        	          15	           30	               0	 suttantapiṭake	 majjhimanikāyo	                  	 3. uparipaṇṇāsako   	                  	 1. devadahavaggo    	 2. pañcattaya suttaṃ
mn 3. 1. 3.   	 mn-3-1-3    	 mn-3        	          15	           44	               0	 suttantapiṭake	 majjhimanikāyo	                  	 3. uparipaṇṇāsako   	                  	 1. devadahavaggo    	 3. kinti suttaṃ
