bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_book	bjt_minor_section	bjt_vagga	bjt_sutta
kn-ap-1-32-3	kn-ap-1-32-3	kn-ap-1-19	39	450	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		32. ārakkhadāyakavaggo	gatasaññakattherāpadānaṃ
kn-ap-1-32-4	kn-ap-1-32-4	kn-ap-1-19	39	452	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		32. ārakkhadāyakavaggo	sattapadumiyattherāpadānaṃ
kn-ap-1-32-5	kn-ap-1-32-5	kn-ap-1-19	39	452	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		32. ārakkhadāyakavaggo	pupphāsanadāyakattherāpadānaṃ
kn-ap-1-32-6	kn-ap-1-32-6	kn-ap-1-19	39	454	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		32. ārakkhadāyakavaggo	āsanatthavikattherāpadānaṃ
kn-ap-1-32-7	kn-ap-1-32-7	kn-ap-1-19	39	456	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		32. ārakkhadāyakavaggo	saddasaññakattherāpadānaṃ
kn-ap-1-32-8	kn-ap-1-32-8	kn-ap-1-19	39	456	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		32. ārakkhadāyakavaggo	tiraṃsiyattherāpadānaṃ
kn-ap-1-32-9	kn-ap-1-32-9	kn-ap-1-19	39	458	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		32. ārakkhadāyakavaggo	kandalipupphiyattherāpadānaṃ
kn-ap-1-32-10	kn-ap-1-32-10	kn-ap-1-19	39	458	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		32. ārakkhadāyakavaggo	kumudamāliyattherāpadānaṃ
kn-ap-1-33-1	kn-ap-1-33-1	kn-ap-1-33	39	460	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		33. ummāpupphiyavaggo	ummāpupphiyattherāpadānaṃ
kn-ap-1-33-2	kn-ap-1-33-2	kn-ap-1-33	39	460	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		33. ummāpupphiyavaggo	pulinapujakattherāpadānaṃ
kn-ap-1-33-3	kn-ap-1-33-3	kn-ap-1-33	39	462	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		33. ummāpupphiyavaggo	hāsajanakattherāpadānaṃ
