root_key	root_group	root_sign	root_meaning	sanskrit_root	sanskrit_root_class	sanskrit_root_meaning	pali_root_family	sanskrit_root_family	sanskrit_dump
√kaṅkh 1	1	a	wish for	√kāṅkṣ	1	desire	ava √kaṅkh	avakāṅkṣ	avakāṅkṣati
√kaṅkh 1	1	a	wish for	√kāṅkṣ	1	desire	ā √kaṅkh	ākāṅkṣ	na + ākāṅkṣati, ākāṅkṣamāṇa, ākāṅkṣat, ākāṅkṣā, ākāṅkṣin, ākāṅkṣati, ākāṅkṣya, ākāṅkṣa
√kaṅkh 1	1	a	wish for	√kāṅkṣ	1	desire	pati √kaṅkh	pratikāṅkṣ	pratikāṅkṣate, pratikāṅkṣita, na + pratikāṅkṣate, pratikāṅkṣin, pratikāṅkṣitavya
√kaṅkh 2	1	a	doubt	√śaṅk	1	doubt	√kaṅkh	śaṅk	akāṅkṣin, śaṅkitum, vikāṅkṣā, kāṅkṣitā (desire), kāṅkṣin, kāṅkṣā (desire), akāṅkṣā (na + kāṅkṣā), śaṅkā, niḥśanka, sa + śaṅkā, śaṅkamāna, kāṅkṣaṇīya (to be desitred), kāṅkṣati (desires)
√kac	8	*e	shine, bind	√kac √kañc	1	shine, bind	ud √kac		
√kañc 1	1	a	bind, cover	√kac √kañc	1	bind	√kañc		kañcuka, kaṅkaṭa
√kañc 1	1	a	bind, cover	√kac √kañc	1	bind	saṃ √kañc		kañculī, na + kañculī
√kañc 2	1	a	shine	√kac √kañc √kānc	1	shine	√kañc		kāñcana
√kaṭh 1	2	ṃa	live in distress	√kaṭh	1	live in distress	ud √kaṭh		utkaṇṭhat, utkaṇṭhita, utkaṇṭhati (bsk), udkaṇṭhā (bsk)
√kaṭh 2	1	a	boil, burn	√kvath	1	boil	√kaṭh	kvath	
√kaṭh 2	1	a	boil, burn	√kvath	1	boil	ud √kaṭh	utkvath	
√kaṭh 2	1	a	boil, burn	√kvath	1	boil	pa √kaṭh		
√kaḍḍh	1	a	drag, plough	√kṛṣ	1, 6	drag, plough	√kaḍḍh		karṣat, karṣita, ākṛṣṭa, karṣati, karśitvā
√kaḍḍh	1	a	drag, plough	√kṛṣ	1, 6	drag, plough	ati √kaḍḍh		
√kaḍḍh	1	a	drag, plough	√kṛṣ	1, 6	drag, plough	apa √kaḍḍh		apakarṣati
√kaḍḍh	1	a	drag, plough	√kṛṣ	1, 6	drag, plough	ava √kaḍḍh		
√kaḍḍh	1	a	drag, plough	√kṛṣ	1, 6	drag, plough	ā √kaḍḍh		na + ākarṣyate, ākarṣat, ākarṣyate, ākṛṣyamāṇa, ākarṣayat, ākṛśita, ākarṣaṇa, ākarṣati, ākarśitum, ākṛṣṭvā
√kaḍḍh	1	a	drag, plough	√kṛṣ	1, 6	drag, plough	ud √kaḍḍh		utkṛṣyate, utkarṣati
√kaḍḍh	1	a	drag, plough	√kṛṣ	1, 6	drag, plough	upa √kaḍḍh		upakarṣati
√kaḍḍh	1	a	drag, plough	√kṛṣ	1, 6	drag, plough	nī √kaḍḍh		niṣkṛṣyamāṇa, niṣkṛṣṭvā, niṣkṛṣṭa, niṣkarṣati, niṣkarṣayati, niṣkṛṣya, niṣkarṣitavya, niṣkṛṣ
√kaḍḍh	1	a	drag, plough	√kṛṣ	1, 6	drag, plough	pati √kaḍḍh		pratikarṣaṇa, pratikarṣati
√kaḍḍh	1	a	drag, plough	√kṛṣ	1, 6	drag, plough	pari √kaḍḍh		parikarṣaṇa, parikarṣati, parikarṣita
√kaḍḍh	1	a	drag, plough	√kṛṣ	1, 6	drag, plough	saṃ √kaḍḍh		saṃkarṣat, saṃkarṣati, saṅkarṣayati, saṃkṛṣṭvā, saṅkarṣati, saṅkarṣat
