book	book_code	dpd_code	dpd_sutta	dpd_sutta_var	id	lemma_1	family_set	meaning_1	meaning_lit	meaning_2	notes
Aṅguttara Nikāya	AN	AN5.286-302	sikkhāpadapeyyāla		62749	sikkhāpadapeyyāla	vaggas of Aṅguttara Nikāya 5	Vagga 28 of Pañcakanipāta (AN5.286-294)		Chapter 28 of Pañcakanipāta, Aṅguttara Nikāya 5.286-302	
Aṅguttara Nikāya	AN	AN6.85-95	sītivagga		63115	sītivagga	vaggas of Aṅguttara Nikāya 6	Vagga 9 of Chakkanipāta (AN6.85-95)		Chapter 9 of Chakkanipāta, Aṅguttara Nikāya 6.85-95	
Aṅguttara Nikāya	AN	AN9.11-20	sīhanādavagga 2		63329	sīhanādavagga 2	vaggas of Aṅguttara Nikāya 9	Vagga 2 of Navakanipāta (AN9.11-20)		Chapter 2 of Navakanipāta, Aṅguttara Nikāya 9.11-20	
Aṅguttara Nikāya	AN	AN2.65-77	sukhavagga 1		63538	sukhavagga 1	vaggas of Aṅguttara Nikāya 2	Vagga 7 of Dukanipāta (AN2.65-77)		Chapter 7 of Dukanipāta, Aṅguttara Nikāya 2.65-77	
Aṅguttara Nikāya	AN	AN5.31-40	sumanavagga		64297	sumanavagga	vaggas of Aṅguttara Nikāya 5	Vagga 4 of Pañcakanipāta (AN5.31-40)		Chapter 4 of Pañcakanipāta, Aṅguttara Nikāya 5.31-40	
Aṅguttara Nikāya	AN	AN5.1-10	sekhabalavagga		64802	sekhabalavagga	vaggas of Aṅguttara Nikāya 5	Vagga 1 of Pañcakanipāta (AN5.1-10)		Chapter 1 of Pañcakanipāta, Aṅguttara Nikāya 5.1-10	
Aṅguttara Nikāya	AN	AN7.21-31	vajjisattakavagga	vajjivagga	65749	vajjisattakavagga	vaggas of Aṅguttara Nikāya 7	Vagga 3 of Sattakanipāta (AN7.21-31)		Chapter 3 of Sattakanipāta, Aṅguttara Nikāya 7.21-31	
Aṅguttara Nikāya	AN	AN4.101-110	valāhakavagga		66419	valāhakavagga	vaggas of Aṅguttara Nikāya 4	Vagga 11 of Catukkanipāta (AN4.101-110)		Chapter 11 of Catukkanipāta, Aṅguttara Nikāya 4.101-110	
Aṅguttara Nikāya	AN	AN2.201-230	vinayapeyyāla		68101	vinayapeyyāla	vaggas of Aṅguttara Nikāya 2	Vagga 18 of Dukanipāta (AN2.201-230)		Chapter 18 of Dukanipāta, Aṅguttara Nikāya 2.201-230	
Aṅguttara Nikāya	AN	AN7.75-84	vinayavagga		68105	vinayavagga	vaggas of Aṅguttara Nikāya 7	Vagga 8 of Sattakanipāta (AN7.75-84)		Chapter 8 of Sattakanipāta, Aṅguttara Nikāya 7.75-84	
Aṅguttara Nikāya	AN	AN1.61-70	vīriyārambhādivagga		69931	vīriyārambhādivagga	vaggas of Aṅguttara Nikāya 1	Vagga 7 of Ekakanipāta (AN1.61-70)		Chapter 7 of Ekakanipāta, Aṅguttara Nikāya 1.61-70	
