word	pos	position	type	exceptions	notes
jātika	adj	last	pañcamī tappurisa > bahubbīhi	adhivāsakajātika, anadhivāsakajātika, apparajakkhajātika, abālajātika, alasajātika, alolajātika, aviheṭhakajātika, ujujātika, kāḷakajātika, taruṇajātika, tibbadosajātika, tibbamohajātika, tibbarāgajātika, dabbajātika, duppaññajātika, dubbacajātika, dhārakajātika, dhāraṇajātika, bālajātika, brāhmaṇajātika, bhīrukajātika, maṇḍanakajātika, maṇḍanajātika, mānātimānajātika, mukharajātika, lolajātika, viññujātika, viheṭhakajātika, vīriyajātika, sajātika, sappaññajātika, saṃsappajātika, huṃhuṅkajātika	
jāni	fem	last	chaṭṭhī tappurisa	hatajāni	
jāla	nt	last	chaṭṭhī tappurisa		
jīvika	adj	last	kammadhāraya > bahubbīhi	ekajīvika	
ñāṇa	adj	last	kammadhāraya > bahubbīhi	visuddhiñāṇa	
ñāṇa	nt	last	chaṭṭhī tappurisa		
ñū	any	last	dutiyā tappurisa	akhettaññū 1, akhettaññū 2, apakataññū, apakataññū, amattaññū, asabbaññū, pakataññū, akataññū 1.1, appakataññū, akālaññū	
ṭha	adj	last	sattamī tappurisa	ekaṭṭha, kappaṭṭha, kūṭaṭṭha	
ṭhapana	nt	last	chaṭṭhī tappurisa		
ṭhāna	nt	last	chaṭṭhī tappurisa	akkantaakkantaṭṭhāna, acalaṭṭhāna, anājānīyaṭhāna, anālokaṭṭhāna, anupacāraṭṭhāna, apagataṭṭhāna, abyākataṭṭhāna, abhabbaṭṭhāna, amanussaṭṭhāna, asampattaṭṭhāna, ājānīyaṭhāna, uttamaṭṭhāna	
ṭhāniya	adj	last	catutthī tappurisa		
taca	adj	last	kammadhāraya > bahubbīhi		
tatiya	any	first	kammadhāraya		
taya	nt	last	chaṭṭhī tappurisa	anantarapadattaya, anantaravārattaya, itarapañhattaya, pañcattaya	
tasinā	any	last	sattamī tappurisa		
tīra	any	last	chaṭṭhī tappurisa	orimatīra, paratīra 1, paratīra 2, paratīra 3, pārimatīra	
thaddha	any	last	tatiyā tappurisa	kodhappattamanatthaddha	
thaddha	any	last	tatiyā tappurisa	kodhappattamanatthaddha	
thera	masc	last	kammadhāraya	jātithera, dhammathera, saṅghatthera, sammutithera	
therī	fem	last	kammadhāraya		
da	any	last	dutiyā tappurisa	urunda	
da	any	last	dutiyā tappurisa		
daṇḍa	adj	last	kammadhāraya > bahubbīhi		
datta	any	last	chaṭṭhī tappurisa		
dada	adj	last	dutiyā tappurisa		
danta	adj	last	kammadhāraya > bahubbīhi		
dassana	adj	last	kammadhāraya > bahubbīhi		
dassī	any	last	dutiyā tappurisa	atīradassī, anissaraṇadassī, apāradassī, abhayadassī, avajjadassī, kathaṃdassī, dīghadassī, piyadassī 1, yāthāvadassī, vivekadassī, aparimitadassī, piyadassī 2, anomadassī 2	
dāyaka	adj	last	dutiyā tappurisa		
diṭṭhi	fem	last	kammadhāraya iti		
diṭṭhika	adj	last	kammadhāraya > bahubbīhi		
dinna	adj	last	kammadhāraya		
dinna	noun	last	catutthī tappurisa		
dinna	noun	last	kammadhāraya		
