variant	main
brahmakusalassāti	brāhmaṇakulassāti 
pavitthāretvā	pattharitvā
sevālamālakā	sevālamālikā
sakālasseva	kālasseva
bhedātā	bhettā
nābhibhoti	nādhibhoti
kabaḷiṃkārabhakkhānaṃ	kabaḷīkārāhārabhakkhānaṃ
paccāmasati	paccāvamati
atthasammāpaṇīdhī	attasammāpaṇidhi
dhammassāvaṇaṃ	dhammassavanaṃ
dhammasavanaṃ	dhammassavanaṃ
pathaviṃsito	pathavissito
sahāvasaddassanasampadāya	sahāvassa dassanasampadāya
paṭhamasmi	paṭhamasmiṃ
yathayaṃ	yathāyaṃ
kayākkayaṃ	kayokayaṃ
manuppadinnavā	bhikkhūnamanuppadinnaṃ
naccodātatāti	nāccodātatāti
kayākayaṃ	kayokayaṃ
sūvaco	suvaco
apamattassa	appamattassa
sandhavaṃ	santhavaṃ
sapupphakāni	papupphakāni
byāsattamānasaṃ	byāsattamanasaṃ
sakubbato	kubbato
sukubbato	kubbato
saṅkhatadhammānaṃ	saṅkhātadhammānaṃ
bhasmāchannova	bhasmacchannova
bhāvamiccheyya	 bhāvanamiccheyy
asantabhāvanamiccheyya	asantaṃ bhāvanamiccheyya
roganiddhaṃ	roganīḷaṃ
abhimantati	abhimatthati
pitīyati	pidhīyati
nibbāṇaṃ	nibbānaṃ
nibbāṇaparamaṃ	nibbānaparamaṃ
bālasaṅgaticārī	bālasaṅgatacārī
yuñjamattānaṃ	appaṭibaddhacitto
appasmi	appampi
ahiṃsakāyā	ahiṃsakā ye
jātijjaraṃ	jātijaraṃ
maṃku	maṅku
sallasanthanaṃ	sallakantanaṃ
sallasatthanaṃ	sallakantanaṃ
asampannasaṅkappamano	saṃsannasaṅkappamano
paṭibandhamanova	paṭibaddhamanova
appaṭibandhacitto	appaṭibaddhacitto
dukkhānupātito	dukkhānupatito
kaṭukappabhedano	kaṭukabhedano
susarati	sumarati
palavetī	plavatī
abhivuḍḍhaṃva	abhivaṭṭhaṃva
dārūjaṃ	dāruja
vitakkūpasameva	vitakkūpasame + eva
paṭisandhāravutyassa	paṭisanthāravutyassa
majjavāni	maddavāni
paccavāni	maddavāni
paṭimāse	paṭimaṃsetha
attamattanā	attanā
sandāmaṃ	sandānaṃ
nirāsakaṃ	nirāsāsaṃ
ṭhārasa	soḷasa
huhuṅkajātiko	huṃhuṅkajātiko
nihuhuṅko	nihuṃhuṅko
simbaliguhāyaṃ	pippaliguhāyaṃ
khuddaputtañhi	khuddaputtāmhi
adhipātitvā	adhipatitvā
ucchaditvā	ucchadditvāna
paṭibandharupo	paṭibandhacitto
piyarūpassātagadhitāse	piyarūpassādagadhitāse
kolīyadhītaraṃ	koliyadhītaraṃ
divādivasseyeva	divā divassa
paṇunnakodho	panuṇṇakodho
paccugantvā	paccuggantvā
pavisetvā	pavisitvā
anekasūparasabyañjano	anekarasabyañjano
pilindi	pilindo
ubbilāpā	uppilāvā
samādipito	samādapito
upaccapi	upeccapi
uppaccapi	upeccapi
anāgāmīphalasacchikiriyāya	anāgāmiphalasacchikiriyāya
dakkhiṇapatho	dakkhiṇāpatho
samāsambuddhanti	sammāsambuddhanti
saddāyamānarūpā	sadhāyamānarūpā
pathāyamānarūpā	sadhāyamānarūpā
vadhāyamānarūpā	sadhāyamānarūpā
saddhāyamānarūpā	sadhāyamānarūpā
cūlapanthako	cūḷapanthako
khārīvidhamādāya	khārivividhamādāya
cāriyanti	paricāressantīti
vāṇiṃ	vaṇiṃ
vaṇī	vaṇiṃ
sayaṃkathaṃ	sayaṃkataṃ
achijji	acchecchi
kukuṭā	kukuṭṭhā
sārāṇiyaṃ	sārāṇīyaṃ
pītidahaṃsu	sītibhaviṃsu
sītidahiṃsu	sītibhaviṃsu
kāmakaṇḍako	kāmakaṇṭako
thinamiddhābhibhū	thīnamiddhābhibhū
kukudhā	kukuṭṭhā
kukudhaṃ	kukuṭṭhaṃ
kakutthā	kukuṭṭhā
