kenacideva	kenaci + eva
snehamanvāyamivosadhāti	snehaṃ + anvāya + iva + osadhā + iti
rohitassāpare	rohitassa + apare
atthāsaṃ	atthā + āsaṃ
kamatiṭṭhānaṃ	kamati + ṭhānaṃ
anavajjenamhi	anavajjena + amhi
karontākusalaṃ	karonta + akusalaṃ
nassevanti	na + assa + evaṃ + iti
aparāmasanti	aparāmasaṃ + iti
yenayyo	yena + ayyo
vitthārāsubhaṃ	vitthāra + asubhaṃ
vatassāyaṃ	vata + ssu + ayaṃ
vatassāyaṃ	vata + assaṃ + ayaṃ
kāmātveva	kāmā + iti + eva
āyataneti	āyatane + iti
nayimassa	na + imassa
bhikkhutveva	bhikkhu + iti + eva
aṅgantveva	aṅgaṃ + iti + eva
atthetaṃ	atthi + etaṃ
gavesināti	gavesinā + iti
brāhmaṇātveva	brāhmaṇa + iti + eva
khandhimāva	khandhimā + iva
vācatuppādā	vā + catuppādā
caṇḍālimpi	caṇḍāliṃ + api
sayanamathannapānaṃ	sayanaṃ + atha + annapānaṃ
abhiramatāyasmā	abhiramati + āyasmā
nāssassa	nāssa + assa
appaṃsupati	appaṃ + supati
sopapajjati	so + upapajjati
sopapajjatīti	so + upapajjati + iti
tyāssume	te + assu + ime
itohaṃ	ito + ahaṃ
tyassudaṃ	te + assudaṃ
khādaneti	khādane + iti
dīghācārāvāsikañca	dīgha + ācāra + āvāsikaṃ + ca
tyassume	te + assu + ime
assanti	assaṃ + iti
jarasāpi	jarasā + api
pathavītveva	pathavī + iti + eva
āpotveva	āpo + iti + eva
tejotveva	tejo + iti + eva
vāyotveva	vāyo + iti + eva
kāmarāgarattāyaṃ	kāmarāgaratta + ayaṃ
yete	ye + ete
amissīkatamevassa	amissīkataṃ + eva + assa
nayimāni	na + imāni
taṭṭhānā	ta + ṭhānā
sāpissa	sā + api + assa
tyāpare	te + āpare
vayañcassānupassatīti	vayaṃ + ca + assa + anupassati + iti
yassaṃdisaṃ	yassaṃ + disaṃ
atohayaṃ	ato + hi + ayaṃ
itopāyaṃ	ito + api + ayaṃ
yañcassā	yaṃ + ca + assā
puññamahitaṃ	puññamahi + taṃ
atthuttari	atthi + uttari
saṃvaṭṭamānassudāhaṃ	saṃvaṭṭamāna + sudaṃ + ahaṃ
sambhatamassa	sambhataṃ + assa
yācīdha	yā + ca + idha
tāti	tā + iti
pabbatāmapi	pabbataṃ + api
itāyaṃ	iti + ayaṃ
khīṇanteva	khīṇaṃ + iti + eva
dukkhamanattā	dukkhaṃ + anattā
manusāsi	m + anusāsi
niddhamathetaṃ	niddhamatha + etaṃ
ahamaṭṭhitomhīti	ahaṃ + aṭṭhito + amhi + iti
ajāyihaṃ	ajāyi + ahaṃ
nevadassanena	na + eva + dassanena
natthiyā	na + atthiyā
nonatthiyā	no + na + atthiyā
naaññamaññe	na + aññaṃ + aññe
naadhipatipaccayā	na + adhipati + paccayā
noupādā	no + upādā
vātiādi	vā + iti + ādi
nevavipākanavipākadhammadhammo	na + eva + vipāka + na + vipāka + dhamma + dhammo
nevācayagāmināpacayagāmī	na + ev + ācayagāmī + na + apacayagāmī
nevācayagāmināpacayagāmiṃ	na + eva + ācayagāmī + na + apacayagāmiṃ
nevācayagāmināpacayagāmissa	na + eva + ācayagāmī + na + apacayagāmissa
nevācayagāmināpacayagāmiñca	na + eva + ācayagāmī + na + apacayagāmiṃ + ca
nevācayagāmināpacayagāmino	na + eva + ācayagāmī + na + apacayagāmino
nevācayagāmināpacayagāminī	na + eva + ācayagāmī + na + apacayagāminī
noavigate	no + avigate
tāvettha	tāva + ettha
svassa	so + assa
nediso	na + ediso
tyajja	te + ajja
tedāni	te + dāni
yampānanda	yaṃ + api + ānanda
suddhāsuddhehi	suddhā + suddhehi
kāmaññe	kāmā + aññe
malitthiyā	malaṃ + itthiyā
aṭṭhahākārehi	aṭṭhahi + ākārehi
pātimokkhanti	pātimokkhaṃ + iti
upaṭṭhitassatissāyaṃ	upaṭṭhitassatissa + ayaṃ
