index	chA	chB	ch1	ch2	eg	weight
397	r	ī	rī	a	kiccakārī'ssa	3
398	r	ī	ri	i	atar'īdha	3
399	r	i	ri	i	cattārimāni	3
400	r	i	riṃ	a	acāri'haṃ	3
401	r	o	ra	o	sarīrobhāsena	3
402	r	o	ro	a	mukharosi	3
403	r	o	ro	i	cattārome	3
404	r	u	ra	u	samudācāruppanna	3
405	r	ū	ra	u	tatrūpapatti	3
406	r	ū	rī	u	brahmacār'ūpaddava	3
407	r	u	ru	a	dārutthāya	3
408	s	a	s	ā	parisa'mittañca	3
409	s	ā	sa	a	esāhaṃ	3
410	s	ā	sā	ā	sahas'ādiyitvā	3
411	s	ā	sā	a	sāssa	3
412	s	a	sa	a	tass'aṅgaṇassa	4
413	s	ā	sa	ā	vītamohassāvuso	3
414	s	ā	sa	i	assā'ti	3
415	s	ā	sā	i	ayasā'va	3
416	s	ā	saṃ	a	tesāhaṃ	3
417	s	ā	si	a	ahosāhaṃ	3
418	s	a	si	a	jātipupphamadās'ahaṃ	3
419	s	ā	so	a	es'āvahiyyase	3
420	s	a	su	a	sakes'aṅgesu	3
421	s	ā	su	a	yesāhaṃ	3
422	s	e	sa	e	ariyassetaṃ	3
423	s	e	sa	i	sappass'eva	3
424	s	e	se	a	abbhokāse'tināmayi	3
425	s	e	se	i	ākāse'va	3
426	s	e	si	e	karissas'eko	3
427	s	e	so	e	eseva	3
428	s	ī	sa	i	atthikass'īdha	3
429	s	i	sa	i	tassimaṃ	3
430	s	i	si	a	namassi'haṃ	3
431	s	ī	sī	a	vasī'mhi	3
432	s	ī	si	i	gahitosī'ti	3
433	s	ī	sī	i	tapassītiādimāha	3
434	s	i	si	i	tāresimaṃ	3
435	s	i	siṃ	a	namassi'haṃ	3
436	s	o	sā	o	dis'okāsā	3
437	s	o	sa	o	sīs'okkamanaṃ	2
438	s	o	sa	u	phuss'opatisso	3
439	s	o	so	a	somhi	3
440	s	o	so	e	dosova	3
441	s	o	so	i	sadisoti	3
442	s	s		s	chinna's'sarāpi	4
443	s	s	d	s	tassāruppaṃ	3
444	s	u	sa	u	imassuppādā	3
445	s	ū	sa	u	maṃsūpasecano	3
446	s	u	su	a	indriyesumha	3
447	s	u	su	i	apissumaṃ	3
448	s	ū	su	i	kathaṃsūti	3
449	s	ū	su	u	ājānīyasus'ūpamaṃ	3
450	s	u	su	u	pañcasupādāna	3
451	s	v	s	o	alasvassa	3
452	s	v	so	a	svajja	3
453	t	a	tā	a	ettāvat'aggampi	3
454	ṭ	ā	ṭa	ā	makkaṭādi	3
455	t	ā	ta	ā	navanītādīni	3
456	t	ā	ta	a	nissutāssa	3
457	t	a	ta	a	paṇīt'aṭṭhena	4
458	t	ā	tā	ā	rājamahāmattādayo	3
459	t	ā	tā	a	tāhaṃ	3
460	t	ā	tā	i	amantāti	3
461	t	ā	ta	i	pattāti	3
462	t	ā	taṃ	a	dīgharattāhaṃ	3
463	t	ā	ti	ā	ijjhat'āvuso	3
464	t	a	ti	a	jhāyatassu	3
465	t	ā	ti	a	sammāpaṭipattādhikaraṇahetu	3
466	t	ā	to	a	bhindant'āyaṃ	3
467	t	ā	to	ā	tat'āgacchi	3
468	t	a	to	a	yācit'assā	3
469	t	ā	tu	ā	yāpet'āyasmā	3
470	t	e	te	a	te'bhirattā	3
471	t	e	te	i	pokkharapatt'eva	3
472	t	e	ti	e	sant'ettha	3
473	t	e	to	e	kut'ettha	3
474	t	e	tu	e	tiṭṭhat'etaṃ	3
475	t	i	iti	a	ti'ssa	3
476	t	i	ta	i	vat'idaṃ	3
477	t	ī	tī	a	paggharantī'si	3
478	t	i	ti	a	sati'haṃ	3
479	t	i	ti	e	pārāyanant'eva	3
480	t	i	ti	i	it'iha	3
481	t	ī	ti	i	ñāt'īdha	3
482	t	ī	tī	i	ñātī'va	3
483	ṭ	o	ṭo	a	āvaṭṭosi	3
484	t	o	to	a	kutossa	3
485	t	o	to	i	gatimantoti	3
486	ṭ	o	ṭo	i	paṭṭoti	3
487	t	o	to	o	yatodhi	3
